GO.ID	Term	Annotated	Significant	Expected	Fisher
32	GO:0009415	response to water	4	3	0.2	0.01835
33	GO:0006355	regulation of transcription, DNA-templat...	677	47	33.36	0.01856
34	GO:0010876	lipid localization	17	2	0.84	0.02470
35	GO:0007275	multicellular organism development	52	11	2.56	0.02508
36	GO:0009790	embryo development	4	3	0.2	0.02621
37	GO:0006631	fatty acid metabolic process	67	6	3.3	0.02646
38	GO:1903506	regulation of nucleic acid-templated tra...	677	47	33.36	0.02653
39	GO:0055085	transmembrane transport	465	28	22.92	0.02711
40	GO:0010035	response to inorganic substance	7	3	0.34	0.02836
41	GO:0044249	cellular biosynthetic process	1536	71	75.7	0.03038
42	GO:0006869	lipid transport	17	2	0.84	0.03138
43	GO:0016070	RNA metabolic process	1034	49	50.96	0.03262
44	GO:0009733	response to auxin	31	5	1.53	0.03708
45	GO:0065007	biological regulation	1035	63	51.01	0.03814
46	GO:0050789	regulation of biological process	1004	61	49.48	0.04255
47	GO:0034249	negative regulation of cellular amide me...	4	1	0.2	0.04272
48	GO:0017148	negative regulation of translation	4	1	0.2	0.04401
49	GO:2001141	regulation of RNA biosynthetic process	677	47	33.36	0.04581
50	GO:1901605	alpha-amino acid metabolic process	55	3	2.71	0.04759
51	GO:0046394	carboxylic acid biosynthetic process	106	7	5.22	0.05128
52	GO:2000113	negative regulation of cellular macromol...	4	1	0.2	0.06435
53	GO:0009432	SOS response	4	1	0.2	0.06476
54	GO:0072527	pyrimidine-containing compound metabolic...	25	3	1.23	0.07109
55	GO:0006979	response to oxidative stress	86	11	4.24	0.07123
56	GO:0072528	pyrimidine-containing compound biosynthe...	23	3	1.13	0.07599
57	GO:0007264	small GTPase mediated signal transductio...	34	4	1.68	0.07723
58	GO:0031497	chromatin assembly	17	2	0.84	0.07996
59	GO:0000272	polysaccharide catabolic process	8	2	0.39	0.08029
60	GO:1901700	response to oxygen-containing compound	10	3	0.49	0.08122
61	GO:0032787	monocarboxylic acid metabolic process	118	7	5.82	0.09194
62	GO:0006629	lipid metabolic process	317	19	15.62	0.10130
63	GO:0006633	fatty acid biosynthetic process	55	6	2.71	0.10305
64	GO:0006417	regulation of translation	8	1	0.39	0.10600
65	GO:1902223	erythrose 4-phosphate/phosphoenolpyruvat...	4	1	0.2	0.10811
66	GO:0008610	lipid biosynthetic process	156	11	7.69	0.10947
67	GO:0045229	external encapsulating structure organiz...	16	2	0.79	0.11912
68	GO:1901264	carbohydrate derivative transport	7	1	0.34	0.12320
69	GO:0015969	guanosine tetraphosphate metabolic proce...	6	1	0.3	0.12959
70	GO:0006793	phosphorus metabolic process	1171	52	57.71	0.13089
71	GO:0042221	response to chemical	70	8	3.45	0.13256
72	GO:0009063	cellular amino acid catabolic process	6	1	0.3	0.13388
73	GO:0032269	negative regulation of cellular protein ...	4	1	0.2	0.13510
74	GO:0009966	regulation of signal transduction	14	2	0.69	0.13527
75	GO:0051248	negative regulation of protein metabolic...	4	1	0.2	0.13705
76	GO:0008643	carbohydrate transport	8	1	0.39	0.13982
77	GO:0033043	regulation of organelle organization	20	2	0.99	0.14641
78	GO:0043933	protein-containing complex organization	79	5	3.89	0.14702
79	GO:0051493	regulation of cytoskeleton organization	13	2	0.64	0.15051
80	GO:0007010	cytoskeleton organization	64	4	3.15	0.15259
81	GO:0007186	G protein-coupled receptor signaling pat...	15	2	0.74	0.15535
82	GO:0048856	anatomical structure development	54	11	2.66	0.15545
83	GO:0007017	microtubule-based process	91	6	4.48	0.15567
84	GO:0006415	translational termination	12	1	0.59	0.16093
85	GO:0071554	cell wall organization or biogenesis	35	3	1.72	0.16295
86	GO:0006220	pyrimidine nucleotide metabolic process	16	2	0.79	0.16530
87	GO:0034637	cellular carbohydrate biosynthetic proce...	45	4	2.22	0.16711
88	GO:2000241	regulation of reproductive process	3	1	0.15	0.17033
89	GO:0033692	cellular polysaccharide biosynthetic pro...	25	2	1.23	0.17062
90	GO:0015748	organophosphate ester transport	10	1	0.49	0.17235
91	GO:0006353	DNA-templated transcription, termination	3	1	0.15	0.17603
92	GO:0051239	regulation of multicellular organismal p...	3	1	0.15	0.18046
93	GO:0050793	regulation of developmental process	3	1	0.15	0.18109
94	GO:0006470	protein dephosphorylation	88	6	4.34	0.18309
95	GO:0022411	cellular component disassembly	21	2	1.03	0.18819
96	GO:0006468	protein phosphorylation	859	40	42.33	0.18854
97	GO:0016311	dephosphorylation	88	6	4.34	0.18975
98	GO:0006221	pyrimidine nucleotide biosynthetic proce...	15	2	0.74	0.19405
99	GO:0009112	nucleobase metabolic process	6	1	0.3	0.19551
100	GO:0090224	regulation of spindle organization	5	1	0.25	0.20000
101	GO:0007205	protein kinase C-activating G protein-co...	7	2	0.34	0.20000
102	GO:0031401	positive regulation of protein modificat...	5	1	0.25	0.20101
103	GO:0006950	response to stress	309	26	15.23	0.20131
104	GO:0010562	positive regulation of phosphorus metabo...	5	1	0.25	0.20254
105	GO:0045937	positive regulation of phosphate metabol...	5	1	0.25	0.20349
106	GO:0042327	positive regulation of phosphorylation	5	1	0.25	0.20485
107	GO:1901606	alpha-amino acid catabolic process	6	1	0.3	0.20671
108	GO:0023051	regulation of signaling	14	2	0.69	0.20707
109	GO:0010646	regulation of cell communication	14	2	0.69	0.21174
110	GO:0001934	positive regulation of protein phosphory...	5	1	0.25	0.21258
111	GO:0006558	L-phenylalanine metabolic process	5	1	0.25	0.21739
112	GO:1902850	microtubule cytoskeleton organization in...	5	1	0.25	0.22148
113	GO:0044093	positive regulation of molecular functio...	6	1	0.3	0.22222
114	GO:0097435	supramolecular fiber organization	24	2	1.18	0.23261
115	GO:0007154	cell communication	214	11	10.55	0.23621
116	GO:0046112	nucleobase biosynthetic process	6	1	0.3	0.23640
117	GO:0043085	positive regulation of catalytic activit...	6	1	0.3	0.24000
118	GO:0009890	negative regulation of biosynthetic proc...	6	1	0.3	0.24154
119	GO:0010558	negative regulation of macromolecule bio...	6	1	0.3	0.24417
120	GO:1901576	organic substance biosynthetic process	1581	74	77.91	0.24493
121	GO:0006928	movement of cell or subcellular componen...	43	3	2.12	0.24619
122	GO:0031327	negative regulation of cellular biosynth...	6	1	0.3	0.24699
123	GO:0006725	cellular aromatic compound metabolic pro...	1461	61	72	0.24880
124	GO:0051347	positive regulation of transferase activ...	5	1	0.25	0.25000
125	GO:0009059	macromolecule biosynthetic process	1211	56	59.68	0.25174
126	GO:0032270	positive regulation of cellular protein ...	8	1	0.39	0.25251
127	GO:1902221	erythrose 4-phosphate/phosphoenolpyruvat...	5	1	0.25	0.25291
128	GO:0051247	positive regulation of protein metabolic...	8	1	0.39	0.25809
129	GO:0019362	pyridine nucleotide metabolic process	7	1	0.34	0.26153
130	GO:0006325	chromatin organization	26	2	1.28	0.26292
131	GO:0033674	positive regulation of kinase activity	5	1	0.25	0.26316
132	GO:0043632	modification-dependent macromolecule cat...	69	3	3.4	0.26397
133	GO:0046173	polyol biosynthetic process	4	1	0.2	0.26667
134	GO:0034754	cellular hormone metabolic process	8	1	0.39	0.27161
135	GO:0032535	regulation of cellular component size	8	1	0.39	0.27288
136	GO:0006284	base-excision repair	17	1	0.84	0.27713
137	GO:0045860	positive regulation of protein kinase ac...	5	1	0.25	0.27778
138	GO:0065004	protein-DNA complex assembly	21	2	1.03	0.27820
139	GO:0030029	actin filament-based process	26	2	1.28	0.27929
140	GO:0016053	organic acid biosynthetic process	118	7	5.82	0.28223
141	GO:0030243	cellulose metabolic process	13	2	0.64	0.28261
142	GO:0030244	cellulose biosynthetic process	13	2	0.64	0.28261
143	GO:0009690	cytokinin metabolic process	8	1	0.39	0.28531
144	GO:0019363	pyridine nucleotide biosynthetic process	7	1	0.34	0.29359
145	GO:0090066	regulation of anatomical structure size	8	1	0.39	0.29391
146	GO:0030001	metal ion transport	120	9	5.91	0.29395
147	GO:0006206	pyrimidine nucleobase metabolic process	3	1	0.15	0.29792
148	GO:0016054	organic acid catabolic process	10	1	0.49	0.30177
149	GO:0006890	retrograde vesicle-mediated transport, G...	6	1	0.3	0.30180
150	GO:0046483	heterocycle metabolic process	1460	60	71.95	0.30547
151	GO:0016051	carbohydrate biosynthetic process	53	4	2.61	0.30554
152	GO:0042445	hormone metabolic process	8	1	0.39	0.30652
153	GO:0046165	alcohol biosynthetic process	7	1	0.34	0.30661
154	GO:0006741	NADP biosynthetic process	4	1	0.2	0.30769
155	GO:0031668	cellular response to extracellular stimu...	10	1	0.49	0.31479
156	GO:0034032	purine nucleoside bisphosphate metabolic...	17	1	0.84	0.31540
157	GO:0032886	regulation of microtubule-based process	6	1	0.3	0.31707
158	GO:0046395	carboxylic acid catabolic process	10	1	0.49	0.31843
159	GO:0019856	pyrimidine nucleobase biosynthetic proce...	3	1	0.15	0.31885
160	GO:0051172	negative regulation of nitrogen compound...	10	1	0.49	0.32456
161	GO:0010817	regulation of hormone levels	9	1	0.44	0.32516
162	GO:0051173	positive regulation of nitrogen compound...	10	1	0.49	0.32528
163	GO:0031324	negative regulation of cellular metaboli...	10	1	0.49	0.32593
164	GO:0043254	regulation of protein-containing complex...	7	1	0.34	0.32617
165	GO:0072524	pyridine-containing compound metabolic p...	10	1	0.49	0.32814
166	GO:0034248	regulation of cellular amide metabolic p...	8	1	0.39	0.32935
167	GO:0044283	small molecule biosynthetic process	148	8	7.29	0.32970
168	GO:2000112	regulation of cellular macromolecule bio...	8	1	0.39	0.33211
169	GO:0003006	developmental process involved in reprod...	3	1	0.15	0.33288
170	GO:0009095	aromatic amino acid family biosynthetic ...	5	1	0.25	0.33333
171	GO:0016114	terpenoid biosynthetic process	9	1	0.44	0.33333
172	GO:0006721	terpenoid metabolic process	9	1	0.44	0.33333
173	GO:0006887	exocytosis	37	2	1.82	0.33626
174	GO:0048193	Golgi vesicle transport	37	2	1.82	0.34043
175	GO:0007165	signal transduction	166	8	8.18	0.34580
176	GO:0010604	positive regulation of macromolecule met...	10	1	0.49	0.34860
177	GO:0009064	glutamine family amino acid metabolic pr...	22	2	1.08	0.34927
178	GO:0006757	ATP generation from ADP	41	1	2.02	0.35043
179	GO:0034728	nucleosome organization	18	2	0.89	0.35172
180	GO:0034035	purine ribonucleoside bisphosphate metab...	6	1	0.3	0.35294
181	GO:0048583	regulation of response to stimulus	18	2	0.89	0.35294
182	GO:0031325	positive regulation of cellular metaboli...	11	1	0.54	0.35335
183	GO:0055082	cellular chemical homeostasis	14	1	0.69	0.35785
184	GO:0044255	cellular lipid metabolic process	167	8	8.23	0.35819
185	GO:0032970	regulation of actin filament-based proce...	7	1	0.34	0.35929
186	GO:0072525	pyridine-containing compound biosyntheti...	10	1	0.49	0.36248
187	GO:0006739	NADP metabolic process	10	1	0.49	0.36729
188	GO:0032268	regulation of cellular protein metabolic...	28	2	1.38	0.36932
189	GO:0006812	cation transport	155	10	7.64	0.36987
190	GO:0000003	reproduction	44	3	2.17	0.37001
191	GO:0022414	reproductive process	44	3	2.17	0.37001
192	GO:0000271	polysaccharide biosynthetic process	25	2	1.23	0.37044
193	GO:0042545	cell wall modification	10	2	0.49	0.37500
194	GO:0044087	regulation of cellular component biogene...	8	1	0.39	0.37655
195	GO:0009791	post-embryonic development	3	1	0.15	0.37734
196	GO:0051246	regulation of protein metabolic process	29	2	1.43	0.37842
197	GO:1901617	organic hydroxy compound biosynthetic pr...	10	1	0.49	0.37844
198	GO:0048878	chemical homeostasis	15	1	0.74	0.37950
199	GO:0051179	localization	949	49	46.77	0.38309
200	GO:1902531	regulation of intracellular signal trans...	7	1	0.34	0.38320
201	GO:0009893	positive regulation of metabolic process	11	1	0.54	0.39563
202	GO:0006811	ion transport	208	12	10.25	0.40060
203	GO:0035556	intracellular signal transduction	86	5	4.24	0.40085
204	GO:0051128	regulation of cellular component organiz...	24	2	1.18	0.40087
205	GO:0032984	protein-containing complex disassembly	21	2	1.03	0.40136
206	GO:0007051	spindle organization	11	1	0.54	0.40221
207	GO:0042546	cell wall biogenesis	13	1	0.64	0.40571
208	GO:0048522	positive regulation of cellular process	13	1	0.64	0.41228
209	GO:0019321	pentose metabolic process	6	1	0.3	0.41538
210	GO:0072348	sulfur compound transport	10	1	0.49	0.41678
211	GO:0008202	steroid metabolic process	32	2	1.58	0.41902
212	GO:0071824	protein-DNA complex subunit organization	22	2	1.08	0.42863
213	GO:0044238	primary metabolic process	3903	176	192.34	0.42985
214	GO:0070507	regulation of microtubule cytoskeleton o...	6	1	0.3	0.43137
215	GO:0090304	nucleic acid metabolic process	1218	52	60.02	0.43313
216	GO:0051258	protein polymerization	10	1	0.49	0.43326
217	GO:0071555	cell wall organization	16	2	0.79	0.43392
218	GO:0051301	cell division	14	1	0.69	0.43586
219	GO:0009719	response to endogenous stimulus	58	5	2.86	0.43685
220	GO:1902903	regulation of supramolecular fiber organ...	7	1	0.34	0.43865
221	GO:0000910	cytokinesis	11	1	0.54	0.44186
222	GO:0009058	biosynthetic process	1646	75	81.12	0.44303
223	GO:0005996	monosaccharide metabolic process	26	2	1.28	0.44397
224	GO:0000278	mitotic cell cycle	20	1	0.99	0.44466
225	GO:0008037	cell recognition	38	2	1.87	0.45315
226	GO:0007052	mitotic spindle organization	5	1	0.25	0.45455
227	GO:0008154	actin polymerization or depolymerization	15	2	0.74	0.45455
228	GO:0016043	cellular component organization	234	9	11.53	0.45876
229	GO:0140352	export from cell	38	2	1.87	0.47258
230	GO:0009991	response to extracellular stimulus	10	1	0.49	0.47619
231	GO:0071496	cellular response to external stimulus	10	1	0.49	0.47619
232	GO:0044282	small molecule catabolic process	17	1	0.84	0.48498
233	GO:0043412	macromolecule modification	1201	51	59.19	0.48535
234	GO:0018208	peptidyl-proline modification	28	1	1.38	0.49123
235	GO:0022402	cell cycle process	41	2	2.02	0.49302
236	GO:0048831	regulation of shoot system development	3	1	0.15	0.50000
237	GO:0090567	reproductive shoot system development	3	1	0.15	0.50000
238	GO:0061458	reproductive system development	3	1	0.15	0.50000
239	GO:0048608	reproductive structure development	3	1	0.15	0.50246
240	GO:0010608	post-transcriptional regulation of gene ...	10	1	0.49	0.50622
241	GO:0006508	proteolysis	346	13	17.05	0.50822
242	GO:0009611	response to wounding	8	1	0.39	0.50915
243	GO:0009073	aromatic amino acid family biosynthetic ...	15	1	0.74	0.50931
244	GO:0015698	inorganic anion transport	26	2	1.28	0.51587
245	GO:0006694	steroid biosynthetic process	28	2	1.38	0.51730
246	GO:2000026	regulation of multicellular organismal d...	3	1	0.15	0.51765
247	GO:0010564	regulation of cell cycle process	18	1	0.89	0.52075
248	GO:0044257	cellular protein catabolic process	79	3	3.89	0.52929
249	GO:0048518	positive regulation of biological proces...	15	1	0.74	0.53183
250	GO:0006066	alcohol metabolic process	19	1	0.94	0.53280
251	GO:0006873	cellular ion homeostasis	8	1	0.39	0.53333
252	GO:0032956	regulation of actin cytoskeleton organiz...	7	1	0.34	0.53629
253	GO:0030036	actin cytoskeleton organization	26	2	1.28	0.53862
254	GO:0033865	nucleoside bisphosphate metabolic proces...	17	1	0.84	0.54065
255	GO:0016310	phosphorylation	917	41	45.19	0.54205
256	GO:0110053	regulation of actin filament organizatio...	7	1	0.34	0.54545
257	GO:0009165	nucleotide biosynthetic process	62	3	3.06	0.54842
258	GO:0033013	tetrapyrrole metabolic process	20	1	0.99	0.54904
259	GO:1901565	organonitrogen compound catabolic proces...	108	4	5.32	0.54912
260	GO:0033014	tetrapyrrole biosynthetic process	18	1	0.89	0.55580
261	GO:0046836	glycolipid transport	6	1	0.3	0.56863
262	GO:0009308	amine metabolic process	23	1	1.13	0.56879
263	GO:0009057	macromolecule catabolic process	121	5	5.96	0.57183
264	GO:0048523	negative regulation of cellular process	21	1	1.03	0.57560
265	GO:0023052	signaling	166	8	8.18	0.57815
266	GO:0001932	regulation of protein phosphorylation	18	1	0.89	0.57854
267	GO:0006821	chloride transport	9	1	0.44	0.58154
268	GO:0042325	regulation of phosphorylation	19	1	0.94	0.58272
269	GO:0005991	trehalose metabolic process	17	1	0.84	0.58621
270	GO:0000226	microtubule cytoskeleton organization	29	2	1.43	0.58830
271	GO:0006334	nucleosome assembly	17	2	0.84	0.58874
272	GO:0055086	nucleobase-containing small molecule met...	146	6	7.2	0.59464
273	GO:0010629	negative regulation of gene expression	22	1	1.08	0.59649
274	GO:0065003	protein-containing complex assembly	59	3	2.91	0.59753
275	GO:0050801	ion homeostasis	9	1	0.44	0.60000
276	GO:0031399	regulation of protein modification proce...	20	1	0.99	0.60089
277	GO:0051603	proteolysis involved in cellular protein...	79	3	3.89	0.60195
278	GO:0046903	secretion	38	2	1.87	0.60255
279	GO:0071805	potassium ion transmembrane transport	26	1	1.28	0.60465
280	GO:0007018	microtubule-based movement	43	3	2.12	0.60753
281	GO:0007015	actin filament organization	22	2	1.08	0.61111
282	GO:0009072	aromatic amino acid family metabolic pro...	23	1	1.13	0.61653
283	GO:0007265	Ras protein signal transduction	7	1	0.34	0.62157
284	GO:0051056	regulation of small GTPase mediated sign...	7	1	0.34	0.62157
285	GO:0030163	protein catabolic process	85	3	4.19	0.62325
286	GO:0009101	glycoprotein biosynthetic process	45	1	2.22	0.62639
287	GO:0006753	nucleoside phosphate metabolic process	120	5	5.91	0.62880
288	GO:0008272	sulfate transport	10	1	0.49	0.63077
289	GO:0042908	xenobiotic transport	40	2	1.97	0.63124
290	GO:0019751	polyol metabolic process	12	1	0.59	0.63158
291	GO:0006281	DNA repair	114	2	5.62	0.63521
292	GO:0006260	DNA replication	55	1	2.71	0.63672
293	GO:0022607	cellular component assembly	87	3	4.29	0.64036
294	GO:0032446	protein modification by small protein co...	65	3	3.2	0.64687
295	GO:0009875	pollen-pistil interaction	38	2	1.87	0.64701
296	GO:0006820	anion transport	36	2	1.77	0.64865
297	GO:0019220	regulation of phosphate metabolic proces...	23	1	1.13	0.65177
298	GO:0070647	protein modification by small protein co...	75	3	3.7	0.65392
299	GO:0045010	actin nucleation	9	1	0.44	0.66234
300	GO:0019941	modification-dependent protein catabolic...	69	3	3.4	0.66255
301	GO:0009094	L-phenylalanine biosynthetic process	4	1	0.2	0.66667
302	GO:0010605	negative regulation of macromolecule met...	26	1	1.28	0.67276
303	GO:0051261	protein depolymerization	9	1	0.44	0.68571
304	GO:0006810	transport	938	49	46.23	0.68802
305	GO:0018904	ether metabolic process	26	1	1.28	0.69138
306	GO:0016052	carbohydrate catabolic process	52	3	2.56	0.69253
307	GO:0010467	gene expression	1320	53	65.05	0.69486
308	GO:0032271	regulation of protein polymerization	7	1	0.34	0.70000
309	GO:1901615	organic hydroxy compound metabolic proce...	27	1	1.33	0.70516
310	GO:0071840	cellular component organization or bioge...	283	10	13.95	0.70568
311	GO:0046031	ADP metabolic process	41	1	2.02	0.70637
312	GO:1901293	nucleoside phosphate biosynthetic proces...	62	3	3.06	0.70757
313	GO:0009725	response to hormone	58	5	2.86	0.70810
314	GO:0006855	xenobiotic transmembrane transport	40	2	1.97	0.71625
315	GO:1903047	mitotic cell cycle process	19	1	0.94	0.71829
316	GO:0051174	regulation of phosphorus metabolic proce...	23	1	1.13	0.72144
317	GO:0009892	negative regulation of metabolic process	28	1	1.38	0.72251
318	GO:0051276	chromosome organization	62	2	3.06	0.72390
319	GO:0008299	isoprenoid biosynthetic process	27	1	1.33	0.73100
320	GO:0008064	regulation of actin polymerization or de...	7	1	0.34	0.73333
321	GO:0090407	organophosphate biosynthetic process	108	4	5.32	0.73451
322	GO:0030041	actin filament polymerization	8	1	0.39	0.73529
323	GO:0044267	cellular protein metabolic process	1596	57	78.65	0.73560
324	GO:0008652	cellular amino acid biosynthetic process	48	1	2.37	0.73740
325	GO:0071704	organic substance metabolic process	4083	180	201.22	0.74022
326	GO:0051338	regulation of transferase activity	19	1	0.94	0.76000
327	GO:0006996	organelle organization	167	6	8.23	0.76371
328	GO:0048731	system development	6	1	0.3	0.76395
329	GO:0006720	isoprenoid metabolic process	27	1	1.33	0.76408
330	GO:0044265	cellular macromolecule catabolic process	107	3	5.27	0.76682
331	GO:1901360	organic cyclic compound metabolic proces...	1501	62	73.97	0.76903
332	GO:0006082	organic acid metabolic process	305	11	15.03	0.76984
333	GO:0006139	nucleobase-containing compound metabolic...	1389	58	68.45	0.77263
334	GO:1901575	organic substance catabolic process	197	7	9.71	0.77352
335	GO:0044281	small molecule metabolic process	489	19	24.1	0.77798
336	GO:0019725	cellular homeostasis	102	3	5.03	0.78265
337	GO:0044248	cellular catabolic process	137	4	6.75	0.79283
338	GO:0046351	disaccharide biosynthetic process	19	1	0.94	0.79920
339	GO:0019752	carboxylic acid metabolic process	297	11	14.64	0.79951
340	GO:0005992	trehalose biosynthetic process	16	1	0.79	0.80000
341	GO:0044085	cellular component biogenesis	137	4	6.75	0.80519
342	GO:0006541	glutamine metabolic process	12	1	0.59	0.80519
343	GO:0051234	establishment of localization	945	49	46.57	0.80864
344	GO:0009605	response to external stimulus	21	1	1.03	0.80884
345	GO:0009100	glycoprotein metabolic process	46	1	2.27	0.81324
346	GO:0065009	regulation of molecular function	27	1	1.33	0.82058
347	GO:0009056	catabolic process	207	7	10.2	0.82751
348	GO:0008654	phospholipid biosynthetic process	37	1	1.82	0.83089
349	GO:0044042	glucan metabolic process	44	7	2.17	0.83120
350	GO:0007049	cell cycle	79	2	3.89	0.83189
351	GO:0009185	ribonucleoside diphosphate metabolic pro...	41	1	2.02	0.83673
352	GO:0009135	purine nucleoside diphosphate metabolic ...	41	1	2.02	0.83673
353	GO:0051716	cellular response to stimulus	290	10	14.29	0.83878
354	GO:0034641	cellular nitrogen compound metabolic pro...	1759	63	86.69	0.83890
355	GO:0006073	cellular glucan metabolic process	44	7	2.17	0.84444
356	GO:0015914	phospholipid transport	10	1	0.49	0.84559
357	GO:0009312	oligosaccharide biosynthetic process	23	1	1.13	0.84657
358	GO:0043413	macromolecule glycosylation	44	1	2.17	0.85606
359	GO:0030042	actin filament depolymerization	9	1	0.44	0.85714
360	GO:0044260	cellular macromolecule metabolic process	1857	67	91.52	0.86241
361	GO:0006486	protein glycosylation	44	1	2.17	0.86644
362	GO:0048519	negative regulation of biological proces...	41	1	2.02	0.87492
363	GO:0030832	regulation of actin filament length	7	1	0.34	0.87500
364	GO:0030833	regulation of actin filament polymerizat...	7	1	0.34	0.87500
365	GO:0098660	inorganic ion transmembrane transport	42	1	2.07	0.87500
366	GO:0009150	purine ribonucleotide metabolic process	90	2	4.44	0.87829
367	GO:0065008	regulation of biological quality	121	5	5.96	0.88135
368	GO:0034314	Arp2/3 complex-mediated actin nucleation	8	1	0.39	0.88889
369	GO:0070085	glycosylation	48	1	2.37	0.88990
370	GO:0046939	nucleotide phosphorylation	47	1	2.32	0.88997
371	GO:0043170	macromolecule metabolic process	3078	129	151.69	0.89720
372	GO:0051726	regulation of cell cycle	36	1	1.77	0.89762
373	GO:0019637	organophosphate metabolic process	208	6	10.25	0.90425
374	GO:0072521	purine-containing compound metabolic pro...	99	2	4.88	0.90491
375	GO:1901607	alpha-amino acid biosynthetic process	36	1	1.77	0.90617
376	GO:0019693	ribose phosphate metabolic process	90	2	4.44	0.90693
377	GO:0006952	defense response	26	1	1.28	0.90817
378	GO:0016567	protein ubiquitination	63	3	3.1	0.90913
379	GO:0016192	vesicle-mediated transport	125	4	6.16	0.91242
380	GO:0006813	potassium ion transport	28	1	1.38	0.91692
381	GO:0009117	nucleotide metabolic process	118	5	5.82	0.91807
382	GO:0006974	cellular response to DNA damage stimulus	116	2	5.72	0.91873
383	GO:0006165	nucleoside diphosphate phosphorylation	47	1	2.32	0.92119
384	GO:0050790	regulation of catalytic activity	25	1	1.23	0.92593
385	GO:0018193	peptidyl-amino acid modification	57	1	2.81	0.92762
386	GO:0043436	oxoacid metabolic process	303	11	14.93	0.92906
387	GO:0009132	nucleoside diphosphate metabolic process	49	1	2.41	0.93168
388	GO:0009311	oligosaccharide metabolic process	33	1	1.63	0.94350
389	GO:0006644	phospholipid metabolic process	60	1	2.96	0.94526
390	GO:0045859	regulation of protein kinase activity	18	1	0.89	0.94737
391	GO:0098655	cation transmembrane transport	41	1	2.02	0.95104
392	GO:0019318	hexose metabolic process	20	1	0.99	0.95385
393	GO:0009856	pollination	38	2	1.87	0.95545
394	GO:0048544	recognition of pollen	38	2	1.87	0.95545
395	GO:0046034	ATP metabolic process	69	1	3.4	0.95837
396	GO:0043043	peptide biosynthetic process	345	4	17	0.95912
397	GO:0034220	ion transmembrane transport	48	1	2.37	0.96103
398	GO:0006520	cellular amino acid metabolic process	150	3	7.39	0.96762
399	GO:0009250	glucan biosynthetic process	24	2	1.18	0.96874
400	GO:0006457	protein folding	85	1	4.19	0.96989
401	GO:0006091	generation of precursor metabolites and ...	88	1	4.34	0.97062
402	GO:0006090	pyruvate metabolic process	46	1	2.27	0.97206
403	GO:0051273	beta-glucan metabolic process	24	2	1.18	0.97370
404	GO:0098662	inorganic cation transmembrane transport	41	1	2.02	0.97619
405	GO:0042592	homeostatic process	103	3	5.08	0.97681
406	GO:0045454	cell redox homeostasis	87	2	4.29	0.97796
407	GO:0005984	disaccharide metabolic process	29	1	1.43	0.97801
408	GO:0006096	glycolytic process	41	1	2.02	0.98086
409	GO:0015031	protein transport	146	1	7.2	0.98140
410	GO:0009259	ribonucleotide metabolic process	90	2	4.44	0.98891
411	GO:0006259	DNA metabolic process	193	3	9.51	0.98973
412	GO:0019538	protein metabolic process	1858	68	91.56	0.98976
413	GO:0009314	response to radiation	8	1	0.39	0.99301
414	GO:0006163	purine nucleotide metabolic process	96	2	4.73	0.99362
