GO.ID	Term	Annotated	Significant	Expected	Fisher
37	GO:0010817	regulation of hormone levels	9	5	1.12	0.00199
38	GO:0044260	cellular macromolecule metabolic process	1857	295	231.14	0.00238
39	GO:0034754	cellular hormone metabolic process	8	5	1	0.00238
40	GO:0046390	ribose phosphate biosynthetic process	38	11	4.73	0.00241
41	GO:0055086	nucleobase-containing small molecule met...	146	28	18.17	0.00261
42	GO:0044281	small molecule metabolic process	489	87	60.86	0.00445
43	GO:0009267	cellular response to starvation	3	2	0.37	0.00587
44	GO:0009987	cellular process	4674	610	581.76	0.00756
45	GO:0072521	purine-containing compound metabolic pro...	99	23	12.32	0.00887
46	GO:0051668	localization within membrane	26	4	3.24	0.00921
47	GO:0019748	secondary metabolic process	4	3	0.5	0.00925
48	GO:0065008	regulation of biological quality	121	16	15.06	0.00932
49	GO:0006090	pyruvate metabolic process	46	12	5.73	0.00993
50	GO:0051156	glucose 6-phosphate metabolic process	6	3	0.75	0.01113
51	GO:0006353	DNA-templated transcription, termination	3	2	0.37	0.01145
52	GO:0072657	protein localization to membrane	25	4	3.11	0.01255
53	GO:0042254	ribosome biogenesis	45	19	5.6	0.01328
54	GO:0000160	phosphorelay signal transduction system	29	6	3.61	0.01605
55	GO:0009218	pyrimidine ribonucleotide metabolic proc...	6	4	0.75	0.02021
56	GO:0006270	DNA replication initiation	3	2	0.37	0.02339
57	GO:0042594	response to starvation	3	2	0.37	0.02380
58	GO:0046039	GTP metabolic process	6	4	0.75	0.02489
59	GO:0009052	pentose-phosphate shunt, non-oxidative b...	4	3	0.5	0.02492
60	GO:0090150	establishment of protein localization to...	25	4	3.11	0.02500
61	GO:0006402	mRNA catabolic process	8	2	1	0.02585
62	GO:0009605	response to external stimulus	21	5	2.61	0.02633
63	GO:0019684	photosynthesis, light reaction	25	14	3.11	0.02747
64	GO:0044706	multi-multicellular organism process	38	7	4.73	0.02753
65	GO:0009148	pyrimidine nucleoside triphosphate biosy...	6	4	0.75	0.02776
66	GO:0009208	pyrimidine ribonucleoside triphosphate m...	6	4	0.75	0.02776
67	GO:0006165	nucleoside diphosphate phosphorylation	47	14	5.85	0.02859
68	GO:0043933	protein-containing complex organization	79	9	9.83	0.02901
69	GO:0031668	cellular response to extracellular stimu...	10	3	1.24	0.02947
70	GO:0009220	pyrimidine ribonucleotide biosynthetic p...	6	4	0.75	0.03010
71	GO:0009607	response to biotic stimulus	15	4	1.87	0.03174
72	GO:0009209	pyrimidine ribonucleoside triphosphate b...	6	4	0.75	0.03241
73	GO:0034470	ncRNA processing	59	18	7.34	0.03328
74	GO:0005984	disaccharide metabolic process	29	3	3.61	0.03330
75	GO:0022411	cellular component disassembly	21	4	2.61	0.03423
76	GO:0001510	RNA methylation	7	4	0.87	0.03562
77	GO:0009132	nucleoside diphosphate metabolic process	49	14	6.1	0.04372
78	GO:0006261	DNA-templated DNA replication	7	4	0.87	0.04627
79	GO:0006183	GTP biosynthetic process	6	4	0.75	0.04664
80	GO:0033013	tetrapyrrole metabolic process	20	6	2.49	0.05161
81	GO:0006820	anion transport	36	5	4.48	0.05293
82	GO:0051205	protein insertion into membrane	9	2	1.12	0.05395
83	GO:0009147	pyrimidine nucleoside triphosphate metab...	7	4	0.87	0.05722
84	GO:0006720	isoprenoid metabolic process	27	4	3.36	0.05754
85	GO:0009084	glutamine family amino acid biosynthetic...	12	6	1.49	0.06077
86	GO:0009875	pollen-pistil interaction	38	7	4.73	0.06077
87	GO:1901658	glycosyl compound catabolic process	3	2	0.37	0.06242
88	GO:0009308	amine metabolic process	23	7	2.86	0.08054
89	GO:0035383	thioester metabolic process	4	2	0.5	0.08601
90	GO:0006807	nitrogen compound metabolic process	3373	478	419.83	0.08657
91	GO:0018208	peptidyl-proline modification	28	5	3.49	0.08892
92	GO:0072593	reactive oxygen species metabolic proces...	8	3	1	0.09619
93	GO:0043094	cellular metabolic compound salvage	4	2	0.5	0.10254
94	GO:0031497	chromatin assembly	17	3	2.12	0.10319
95	GO:0031109	microtubule polymerization or depolymeri...	3	1	0.37	0.10345
96	GO:0099402	plant organ development	3	1	0.37	0.10901
97	GO:0010207	photosystem II assembly	3	2	0.37	0.10999
98	GO:0034030	ribonucleoside bisphosphate biosynthetic...	6	2	0.75	0.11029
99	GO:0009260	ribonucleotide biosynthetic process	38	11	4.73	0.11260
100	GO:0098655	cation transmembrane transport	41	4	5.1	0.11262
101	GO:0045454	cell redox homeostasis	87	9	10.83	0.11594
102	GO:0009259	ribonucleotide metabolic process	90	21	11.2	0.11618
103	GO:0044419	biological process involved in interspec...	5	2	0.62	0.11977
104	GO:0006221	pyrimidine nucleotide biosynthetic proce...	15	5	1.87	0.13120
105	GO:0072522	purine-containing compound biosynthetic ...	47	13	5.85	0.13210
106	GO:0006534	cysteine metabolic process	4	2	0.5	0.13333
107	GO:0033014	tetrapyrrole biosynthetic process	18	6	2.24	0.13501
108	GO:0006457	protein folding	85	15	10.58	0.13530
109	GO:1901135	carbohydrate derivative metabolic proces...	208	33	25.89	0.13754
110	GO:0046034	ATP metabolic process	69	13	8.59	0.14361
111	GO:0042770	signal transduction in response to DNA d...	3	1	0.37	0.14399
112	GO:0006403	RNA localization	3	1	0.37	0.14570
113	GO:0006739	NADP metabolic process	10	3	1.24	0.14774
114	GO:0072599	establishment of protein localization to...	15	2	1.87	0.14936
115	GO:0098542	defense response to other organism	5	2	0.62	0.15485
116	GO:0006220	pyrimidine nucleotide metabolic process	16	5	1.99	0.15580
117	GO:0009432	SOS response	4	1	0.5	0.15594
118	GO:1901607	alpha-amino acid biosynthetic process	36	12	4.48	0.15615
119	GO:0000272	polysaccharide catabolic process	8	2	1	0.15642
120	GO:0042908	xenobiotic transport	40	5	4.98	0.15706
121	GO:0072348	sulfur compound transport	10	2	1.24	0.15991
122	GO:0009891	positive regulation of biosynthetic proc...	4	2	0.5	0.15998
123	GO:0030001	metal ion transport	120	7	14.94	0.16003
124	GO:0043038	amino acid activation	54	19	6.72	0.16012
125	GO:0006525	arginine metabolic process	5	3	0.62	0.16029
126	GO:0006164	purine nucleotide biosynthetic process	44	12	5.48	0.16415
127	GO:0031328	positive regulation of cellular biosynth...	4	2	0.5	0.16526
128	GO:0015931	nucleobase-containing compound transport	4	1	0.5	0.16662
129	GO:0070507	regulation of microtubule cytoskeleton o...	6	1	0.75	0.16667
130	GO:0010557	positive regulation of macromolecule bio...	4	2	0.5	0.16879
131	GO:0006401	RNA catabolic process	8	2	1	0.17475
132	GO:0008283	cell population proliferation	6	2	0.75	0.17866
133	GO:0030036	actin cytoskeleton organization	26	3	3.24	0.17903
134	GO:0006163	purine nucleotide metabolic process	96	22	11.95	0.17933
135	GO:0015977	carbon fixation	6	2	0.75	0.18037
136	GO:0042440	pigment metabolic process	11	3	1.37	0.18348
137	GO:0032984	protein-containing complex disassembly	21	4	2.61	0.18432
138	GO:0009152	purine ribonucleotide biosynthetic proce...	38	11	4.73	0.18640
139	GO:0006848	pyruvate transport	4	1	0.5	0.18780
140	GO:0051130	positive regulation of cellular componen...	3	1	0.37	0.18843
141	GO:0097435	supramolecular fiber organization	24	3	2.99	0.18899
142	GO:0045786	negative regulation of cell cycle	9	1	1.12	0.19101
143	GO:1901657	glycosyl compound metabolic process	20	5	2.49	0.19148
144	GO:0043039	tRNA aminoacylation	54	19	6.72	0.19228
145	GO:1901475	pyruvate transmembrane transport	4	1	0.5	0.19703
146	GO:0061024	membrane organization	13	2	1.62	0.19846
147	GO:0009064	glutamine family amino acid metabolic pr...	22	7	2.74	0.19919
148	GO:0034728	nucleosome organization	18	3	2.24	0.20099
149	GO:0006813	potassium ion transport	28	3	3.49	0.20462
150	GO:0051236	establishment of RNA localization	3	1	0.37	0.20637
151	GO:0048731	system development	6	1	0.75	0.21174
152	GO:0019344	cysteine biosynthetic process	4	2	0.5	0.21429
153	GO:0006526	arginine biosynthetic process	4	3	0.5	0.21678
154	GO:0006952	defense response	26	4	3.24	0.21703
155	GO:0070972	protein localization to endoplasmic reti...	19	2	2.36	0.21923
156	GO:0010948	negative regulation of cell cycle proces...	9	1	1.12	0.21951
157	GO:0008037	cell recognition	38	7	4.73	0.22002
158	GO:0035556	intracellular signal transduction	86	8	10.7	0.22191
159	GO:0006325	chromatin organization	26	3	3.24	0.22416
160	GO:0018193	peptidyl-amino acid modification	57	6	7.09	0.22507
161	GO:0045047	protein targeting to ER	15	2	1.87	0.22581
162	GO:0065004	protein-DNA complex assembly	21	3	2.61	0.22691
163	GO:0009141	nucleoside triphosphate metabolic proces...	26	7	3.24	0.23121
164	GO:0000154	rRNA modification	3	2	0.37	0.24021
165	GO:0009226	nucleotide-sugar biosynthetic process	4	1	0.5	0.25916
166	GO:0006950	response to stress	309	29	38.46	0.25973
167	GO:0006368	transcription elongation from RNA polyme...	5	1	0.62	0.26190
168	GO:0044770	cell cycle phase transition	11	1	1.37	0.26829
169	GO:0072527	pyrimidine-containing compound metabolic...	25	5	3.11	0.26984
170	GO:0051168	nuclear export	3	1	0.37	0.27273
171	GO:0042401	cellular biogenic amine biosynthetic pro...	6	2	0.75	0.27273
172	GO:0009142	nucleoside triphosphate biosynthetic pro...	25	7	3.11	0.27712
173	GO:0006740	NADPH regeneration	6	3	0.75	0.27970
174	GO:0006605	protein targeting	31	2	3.86	0.28175
175	GO:0016072	rRNA metabolic process	23	9	2.86	0.28573
176	GO:0016310	phosphorylation	917	85	114.14	0.29078
177	GO:0006887	exocytosis	37	1	4.61	0.29365
178	GO:0006449	regulation of translational termination	3	1	0.37	0.29825
179	GO:0006432	phenylalanyl-tRNA aminoacylation	3	2	0.37	0.29919
180	GO:0006433	prolyl-tRNA aminoacylation	3	2	0.37	0.29919
181	GO:0000003	reproduction	44	7	5.48	0.30402
182	GO:0022414	reproductive process	44	7	5.48	0.30402
183	GO:0034655	nucleobase-containing compound catabolic...	18	3	2.24	0.30793
184	GO:0042816	vitamin B6 metabolic process	3	1	0.37	0.30803
185	GO:0042819	vitamin B6 biosynthetic process	3	1	0.37	0.30803
186	GO:0008213	protein alkylation	27	3	3.36	0.30972
187	GO:0016070	RNA metabolic process	1034	106	128.7	0.31011
188	GO:0043207	response to external biotic stimulus	5	2	0.62	0.31208
189	GO:0031204	post-translational protein targeting to ...	5	1	0.62	0.31250
190	GO:0051169	nuclear transport	11	1	1.37	0.31315
191	GO:0006779	porphyrin-containing compound biosynthet...	10	4	1.24	0.31424
192	GO:0019637	organophosphate metabolic process	208	30	25.89	0.31469
193	GO:0015711	organic anion transport	7	1	0.87	0.31838
194	GO:0016053	organic acid biosynthetic process	118	24	14.69	0.32239
195	GO:0033866	nucleoside bisphosphate biosynthetic pro...	6	2	0.75	0.32358
196	GO:0006855	xenobiotic transmembrane transport	40	5	4.98	0.32392
197	GO:0019318	hexose metabolic process	20	4	2.49	0.32408
198	GO:0006354	DNA-templated transcription, elongation	6	1	0.75	0.32712
199	GO:0006547	histidine metabolic process	10	4	1.24	0.32932
200	GO:0048544	recognition of pollen	38	7	4.73	0.32933
201	GO:0009856	pollination	38	7	4.73	0.32933
202	GO:0006099	tricarboxylic acid cycle	9	2	1.12	0.33043
203	GO:0031570	DNA integrity checkpoint signaling	3	1	0.37	0.33333
204	GO:0032886	regulation of microtubule-based process	6	1	0.75	0.33345
205	GO:0070887	cellular response to chemical stimulus	6	1	0.75	0.33613
206	GO:0009165	nucleotide biosynthetic process	62	14	7.72	0.34284
207	GO:0030042	actin filament depolymerization	9	2	1.12	0.34286
208	GO:0006505	GPI anchor metabolic process	16	1	1.99	0.34783
209	GO:0032259	methylation	42	7	5.23	0.35276
210	GO:0006357	regulation of transcription by RNA polym...	21	2	2.61	0.35696
211	GO:0009309	amine biosynthetic process	6	2	0.75	0.36119
212	GO:0006553	lysine metabolic process	5	2	0.62	0.36364
213	GO:0046451	diaminopimelate metabolic process	5	2	0.62	0.36364
214	GO:0007010	cytoskeleton organization	64	4	7.97	0.36504
215	GO:0044283	small molecule biosynthetic process	148	28	18.42	0.37109
216	GO:0006468	protein phosphorylation	859	71	106.92	0.37418
217	GO:0006006	glucose metabolic process	11	3	1.37	0.37461
218	GO:0000737	DNA catabolic process, endonucleolytic	3	1	0.37	0.37500
219	GO:0043414	macromolecule methylation	37	7	4.61	0.37871
220	GO:0006790	sulfur compound metabolic process	41	7	5.1	0.38111
221	GO:0006364	rRNA processing	23	9	2.86	0.38407
222	GO:0006284	base-excision repair	17	1	2.12	0.38685
223	GO:0010604	positive regulation of macromolecule met...	10	2	1.24	0.38762
224	GO:0042221	response to chemical	70	7	8.71	0.38965
225	GO:0000096	sulfur amino acid metabolic process	8	2	1	0.39045
226	GO:0006563	L-serine metabolic process	4	2	0.5	0.40000
227	GO:0006850	mitochondrial pyruvate transmembrane tra...	4	1	0.5	0.40000
228	GO:0034220	ion transmembrane transport	48	5	5.97	0.40153
229	GO:0035434	copper ion transmembrane transport	5	1	0.62	0.40187
230	GO:0046700	heterocycle catabolic process	21	3	2.61	0.40394
231	GO:0034033	purine nucleoside bisphosphate biosynthe...	6	2	0.75	0.40636
232	GO:0016114	terpenoid biosynthetic process	9	2	1.12	0.40718
233	GO:0006721	terpenoid metabolic process	9	2	1.12	0.40718
234	GO:1901361	organic cyclic compound catabolic proces...	22	3	2.74	0.41388
235	GO:0009085	lysine biosynthetic process	5	2	0.62	0.42424
236	GO:0051173	positive regulation of nitrogen compound...	10	2	1.24	0.42488
237	GO:0070727	cellular macromolecule localization	129	6	16.06	0.42714
238	GO:0046040	IMP metabolic process	6	2	0.75	0.42840
239	GO:0010038	response to metal ion	3	1	0.37	0.42857
240	GO:1901136	carbohydrate derivative catabolic proces...	20	3	2.49	0.43450
241	GO:0009069	serine family amino acid metabolic proce...	6	2	0.75	0.43758
242	GO:0006542	glutamine biosynthetic process	4	2	0.5	0.43922
243	GO:0043170	macromolecule metabolic process	3078	406	383.11	0.44137
244	GO:0006334	nucleosome assembly	17	3	2.12	0.44156
245	GO:0009119	ribonucleoside metabolic process	3	1	0.37	0.44240
246	GO:0006575	cellular modified amino acid metabolic p...	17	3	2.12	0.44364
247	GO:0065002	intracellular protein transmembrane tran...	16	1	1.99	0.44623
248	GO:0007018	microtubule-based movement	43	3	5.35	0.44742
249	GO:0009991	response to extracellular stimulus	10	3	1.24	0.45024
250	GO:0071496	cellular response to external stimulus	10	3	1.24	0.45024
251	GO:0016998	cell wall macromolecule catabolic proces...	12	1	1.49	0.45165
252	GO:0045905	positive regulation of translational ter...	3	1	0.37	0.45455
253	GO:2001057	reactive nitrogen species metabolic proc...	4	1	0.5	0.45750
254	GO:0006760	folic acid-containing compound metabolic...	9	2	1.12	0.45820
255	GO:0009893	positive regulation of metabolic process	11	2	1.37	0.45826
256	GO:0006367	transcription initiation from RNA polyme...	10	1	1.24	0.45912
257	GO:0098656	anion transmembrane transport	5	1	0.62	0.46298
258	GO:0000041	transition metal ion transport	10	1	1.24	0.46507
259	GO:0019439	aromatic compound catabolic process	23	3	2.86	0.46885
260	GO:0007015	actin filament organization	22	3	2.74	0.47009
261	GO:0006308	DNA catabolic process	8	1	1	0.47107
262	GO:0046364	monosaccharide biosynthetic process	4	1	0.5	0.47259
263	GO:0042558	pteridine-containing compound metabolic ...	11	2	1.37	0.47292
264	GO:0010608	post-transcriptional regulation of gene ...	10	1	1.24	0.47530
265	GO:0032446	protein modification by small protein co...	65	5	8.09	0.47857
266	GO:0071805	potassium ion transmembrane transport	26	3	3.24	0.47930
267	GO:0051128	regulation of cellular component organiz...	24	2	2.99	0.47991
268	GO:0009225	nucleotide-sugar metabolic process	4	1	0.5	0.48187
269	GO:0010628	positive regulation of gene expression	3	1	0.37	0.48218
270	GO:0071824	protein-DNA complex subunit organization	22	3	2.74	0.48291
271	GO:0031325	positive regulation of cellular metaboli...	11	2	1.37	0.48741
272	GO:0043243	positive regulation of protein-containin...	3	1	0.37	0.48872
273	GO:0043650	dicarboxylic acid biosynthetic process	3	1	0.37	0.49154
274	GO:0043648	dicarboxylic acid metabolic process	12	3	1.49	0.49807
275	GO:0031667	response to nutrient levels	5	2	0.62	0.50000
276	GO:0031669	cellular response to nutrient levels	5	2	0.62	0.50000
277	GO:0048827	phyllome development	3	1	0.37	0.50000
278	GO:0009123	nucleoside monophosphate metabolic proce...	8	2	1	0.50175
279	GO:0000105	histidine biosynthetic process	10	4	1.24	0.50341
280	GO:0008272	sulfate transport	10	2	1.24	0.50368
281	GO:0043244	regulation of protein-containing complex...	5	1	0.62	0.50664
282	GO:0072528	pyrimidine-containing compound biosynthe...	23	5	2.86	0.50687
283	GO:0006633	fatty acid biosynthetic process	55	4	6.85	0.50700
284	GO:0046148	pigment biosynthetic process	9	3	1.12	0.50909
285	GO:0046031	ADP metabolic process	41	10	5.1	0.51166
286	GO:0005996	monosaccharide metabolic process	26	4	3.24	0.51396
287	GO:0010564	regulation of cell cycle process	18	1	2.24	0.52075
288	GO:0048522	positive regulation of cellular process	13	2	1.62	0.52113
289	GO:0006414	translational elongation	13	6	1.62	0.52703
290	GO:0009070	serine family amino acid biosynthetic pr...	5	2	0.62	0.52987
291	GO:0015849	organic acid transport	41	2	5.1	0.53072
292	GO:0009314	response to radiation	8	1	1	0.53333
293	GO:0006873	cellular ion homeostasis	8	1	1	0.53333
294	GO:0071941	nitrogen cycle metabolic process	5	1	0.62	0.53447
295	GO:0010035	response to inorganic substance	7	1	0.87	0.53847
296	GO:0006144	purine nucleobase metabolic process	3	1	0.37	0.53944
297	GO:0006620	post-translational protein targeting to ...	5	1	0.62	0.54167
298	GO:0006778	porphyrin-containing compound metabolic ...	12	4	1.49	0.54489
299	GO:0070925	organelle assembly	14	1	1.74	0.54629
300	GO:0031163	metallo-sulfur cluster assembly	9	1	1.12	0.54788
301	GO:0072594	establishment of protein localization to...	34	2	4.23	0.54898
302	GO:0009611	response to wounding	8	1	1	0.54975
303	GO:0008652	cellular amino acid biosynthetic process	48	17	5.97	0.56156
304	GO:0051301	cell division	14	2	1.74	0.56254
305	GO:0051493	regulation of cytoskeleton organization	13	1	1.62	0.56334
306	GO:0006352	DNA-templated transcription, initiation	29	2	3.61	0.56361
307	GO:0009733	response to auxin	31	3	3.86	0.56681
308	GO:0006612	protein targeting to membrane	16	2	1.99	0.56709
309	GO:0009719	response to endogenous stimulus	58	5	7.22	0.56920
310	GO:0015698	inorganic anion transport	26	4	3.24	0.57105
311	GO:0006188	IMP biosynthetic process	6	2	0.75	0.57111
312	GO:0006026	aminoglycan catabolic process	11	1	1.37	0.57133
313	GO:0015718	monocarboxylic acid transport	4	1	0.5	0.57143
314	GO:0048518	positive regulation of biological proces...	15	2	1.87	0.57372
315	GO:0043631	RNA polyadenylation	8	1	1	0.58037
316	GO:0000398	mRNA splicing, via spliceosome	32	1	3.98	0.58182
317	GO:0009150	purine ribonucleotide metabolic process	90	21	11.2	0.58211
318	GO:0016108	tetraterpenoid metabolic process	3	1	0.37	0.58333
319	GO:0016109	tetraterpenoid biosynthetic process	3	1	0.37	0.58333
320	GO:0009124	nucleoside monophosphate biosynthetic pr...	8	2	1	0.58352
321	GO:0006081	cellular aldehyde metabolic process	6	1	0.75	0.58617
322	GO:0009066	aspartate family amino acid metabolic pr...	12	3	1.49	0.58636
323	GO:0051261	protein depolymerization	9	2	1.12	0.58647
324	GO:0006979	response to oxidative stress	86	8	10.7	0.58813
325	GO:0042430	indole-containing compound metabolic pro...	6	1	0.75	0.59831
326	GO:0042742	defense response to bacterium	4	2	0.5	0.60000
327	GO:0009617	response to bacterium	4	2	0.5	0.60000
328	GO:0050801	ion homeostasis	9	1	1.12	0.60000
329	GO:0000075	cell cycle checkpoint signaling	9	1	1.12	0.60343
330	GO:0009113	purine nucleobase biosynthetic process	3	1	0.37	0.60357
331	GO:0033365	protein localization to organelle	40	2	4.98	0.60595
332	GO:0043436	oxoacid metabolic process	303	67	37.71	0.60835
333	GO:1901987	regulation of cell cycle phase transitio...	11	1	1.37	0.61111
334	GO:0009116	nucleoside metabolic process	18	3	2.24	0.61119
335	GO:0006528	asparagine metabolic process	3	1	0.37	0.61818
336	GO:0006595	polyamine metabolic process	4	1	0.5	0.61818
337	GO:0019319	hexose biosynthetic process	4	1	0.5	0.62436
338	GO:0006637	acyl-CoA metabolic process	4	2	0.5	0.62592
339	GO:0051276	chromosome organization	62	3	7.72	0.62599
340	GO:0031167	rRNA methylation	3	2	0.37	0.62857
341	GO:0005991	trehalose metabolic process	17	2	2.12	0.63273
342	GO:1990542	mitochondrial transmembrane transport	10	1	1.24	0.63370
343	GO:0042126	nitrate metabolic process	4	1	0.5	0.63406
344	GO:0009117	nucleotide metabolic process	118	24	14.69	0.63866
345	GO:0046394	carboxylic acid biosynthetic process	106	22	13.19	0.64260
346	GO:0070647	protein modification by small protein co...	75	5	9.34	0.64689
347	GO:0044106	cellular amine metabolic process	11	2	1.37	0.64736
348	GO:0006536	glutamate metabolic process	3	1	0.37	0.65740
349	GO:0006529	asparagine biosynthetic process	3	1	0.37	0.66061
350	GO:0006366	transcription by RNA polymerase II	36	2	4.48	0.66309
351	GO:0009112	nucleobase metabolic process	6	1	0.75	0.67264
352	GO:0030029	actin filament-based process	26	3	3.24	0.67852
353	GO:1903506	regulation of nucleic acid-templated tra...	677	41	84.26	0.68208
354	GO:0033043	regulation of organelle organization	20	1	2.49	0.68284
355	GO:0051726	regulation of cell cycle	36	2	4.48	0.68722
356	GO:0044272	sulfur compound biosynthetic process	24	4	2.99	0.69498
357	GO:0046351	disaccharide biosynthetic process	19	1	2.36	0.69608
358	GO:0015986	proton motive force-driven ATP synthesis	17	3	2.12	0.70175
359	GO:0009311	oligosaccharide metabolic process	33	3	4.11	0.70411
360	GO:0009725	response to hormone	58	5	7.22	0.70810
361	GO:0006766	vitamin metabolic process	20	3	2.49	0.72279
362	GO:0006650	glycerophospholipid metabolic process	45	1	5.6	0.72581
363	GO:0030091	protein repair	7	1	0.87	0.72747
364	GO:0071840	cellular component organization or bioge...	283	34	35.22	0.73006
365	GO:0008104	protein localization	157	8	19.54	0.73063
366	GO:0009144	purine nucleoside triphosphate metabolic...	25	7	3.11	0.73077
367	GO:0006664	glycolipid metabolic process	19	1	2.36	0.73077
368	GO:0009199	ribonucleoside triphosphate metabolic pr...	25	7	3.11	0.73077
369	GO:0048856	anatomical structure development	54	2	6.72	0.73272
370	GO:0051234	establishment of localization	945	70	117.62	0.73565
371	GO:0046112	nucleobase biosynthetic process	6	1	0.75	0.74187
372	GO:0009628	response to abiotic stimulus	15	1	1.87	0.74316
373	GO:0042726	flavin-containing compound metabolic pro...	9	1	1.12	0.74502
374	GO:0008216	spermidine metabolic process	3	1	0.37	0.75000
375	GO:0050657	nucleic acid transport	3	1	0.37	0.75000
376	GO:0008295	spermidine biosynthetic process	3	1	0.37	0.75000
377	GO:0009161	ribonucleoside monophosphate metabolic p...	7	2	0.87	0.75000
378	GO:0009156	ribonucleoside monophosphate biosyntheti...	7	2	0.87	0.75000
379	GO:0009126	purine nucleoside monophosphate metaboli...	7	2	0.87	0.75000
380	GO:0009127	purine nucleoside monophosphate biosynth...	7	2	0.87	0.75000
381	GO:0071806	protein transmembrane transport	16	1	1.99	0.75180
382	GO:0009081	branched-chain amino acid metabolic proc...	4	1	0.5	0.75481
383	GO:0051247	positive regulation of protein metabolic...	8	1	1	0.75586
384	GO:0006413	translational initiation	18	2	2.24	0.75787
385	GO:0016117	carotenoid biosynthetic process	3	1	0.37	0.76190
386	GO:0009110	vitamin biosynthetic process	20	3	2.49	0.76585
387	GO:0006355	regulation of transcription, DNA-templat...	677	41	84.26	0.76945
388	GO:0008154	actin polymerization or depolymerization	15	2	1.87	0.77273
389	GO:0008299	isoprenoid biosynthetic process	27	4	3.36	0.77312
390	GO:0032270	positive regulation of cellular protein ...	8	1	1	0.77445
391	GO:0006568	tryptophan metabolic process	6	1	0.75	0.77593
392	GO:0006811	ion transport	208	13	25.89	0.77992
393	GO:0044270	cellular nitrogen compound catabolic pro...	22	3	2.74	0.78016
394	GO:0072524	pyridine-containing compound metabolic p...	10	1	1.24	0.78099
395	GO:0055082	cellular chemical homeostasis	14	1	1.74	0.78445
396	GO:0140694	non-membrane-bounded organelle assembly	11	1	1.37	0.78571
397	GO:0006094	gluconeogenesis	4	1	0.5	0.78788
398	GO:0000097	sulfur amino acid biosynthetic process	7	2	0.87	0.78926
399	GO:0009072	aromatic amino acid family metabolic pro...	23	2	2.86	0.79005
400	GO:0009067	aspartate family amino acid biosynthetic...	11	3	1.37	0.79120
401	GO:0042128	nitrate assimilation	4	1	0.5	0.80000
402	GO:0032501	multicellular organismal process	90	9	11.2	0.80510
403	GO:0006096	glycolytic process	41	10	5.1	0.80751
404	GO:0048878	chemical homeostasis	15	1	1.87	0.80867
405	GO:0005985	sucrose metabolic process	12	1	1.49	0.81390
406	GO:1901988	negative regulation of cell cycle phase ...	9	1	1.12	0.81818
407	GO:0006586	indolalkylamine metabolic process	6	1	0.75	0.81818
408	GO:0006399	tRNA metabolic process	91	28	11.33	0.81874
409	GO:0009073	aromatic amino acid family biosynthetic ...	15	2	1.87	0.82502
410	GO:0006643	membrane lipid metabolic process	26	1	3.24	0.82521
